Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
PRT,porto,46:30.0,629.5,62,110.8,176,1,31:30.0,18.82717722636724,17.12507194172829,1.7021052846389502
PRT,porto,46:30.0,208.6,27,56.1,60,0,01:30.0,13.715024251605874,13.18261856277237,0.5324056888335029
PRT,porto,01:30.0,1.2,0,0.1,1,0,01:30.0,10.63452335139257,10.535795338289564,0.098728013
PRT,porto,01:30.0,8.9,0,0.7,2,0,01:30.0,10.654083167164766,10.434722110709904,0.2193610564548613
PRT,porto,01:30.0,7,0,0.2,1,0,01:30.0,11.788644840564857,11.562299606439709,0.2263452341251479
PRT,porto,01:30.0,3.7,0,4.8,2,0,01:30.0,12.988638281851072,12.829943038597328,0.158695243
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.69285857711652,12.522283010950758,0.1705755661657608
PRT,porto,01:30.0,0.8,0,1.4,1,0,01:30.0,12.35013481,12.26817883334299,0.081955978
PRT,porto,01:30.0,13.2,0,0.4,3,0,01:30.0,11.788487229473452,11.807492433345752,-0.019005204
PRT,porto,01:30.0,0,0,0,0,1,16:30.0,12.55390369460282,12.703338471633952,-0.149434777
PRT,porto,01:30.0,0.7,1,0.2,1,3,01:30.0,12.814520091757672,13.039182350974812,-0.224662259
PRT,porto,01:30.0,12.8,14,4.5,4,7,01:30.0,14.29612326272222,13.40783482,0.8882884417479175
PRT,porto,01:30.0,219,42,28.6,45,24,01:30.0,17.56105470641813,14.570332613993248,2.990722092424882
PRT,porto,01:30.0,921.8,80,111.9,202,50,01:30.0,21.57039461668246,17.028594422698024,4.541800193984436
PRT,porto,46:30.0,1169.7,84,150,255,61,01:30.0,21.98741006959937,17.661220990628536,4.326189078970835
PRT,porto,46:30.0,848,62,131.3,245,60,46:30.0,19.26950125610334,17.82699794920355,1.4425033068997877
PRT,porto,46:30.0,188.7,33,34.7,71,50,46:30.0,15.65639780808987,15.583410684155009,0.072987124
PRT,porto,46:30.0,96.7,27,16.4,39,45,46:30.0,15.015487518156911,14.984551618369943,0.0309359
PRT,porto,46:30.0,74.9,24,15.8,29,29,46:30.0,14.766363861021537,14.67378884984448,0.092575011
PRT,porto,46:30.0,36.9,17,4.9,17,23,01:30.0,14.030698821217683,14.149213184001976,-0.118514363
PRT,porto,01:30.0,18.4,16,4.1,9,23,01:30.0,13.955637241445736,14.09503764,-0.139400402
PRT,porto,01:30.0,72.1,18,6.9,22,26,01:30.0,14.076427647628764,14.159522807780164,-0.08309516
PRT,porto,01:30.0,59.8,19,5.4,17,26,46:30.0,13.95822578906294,14.14565991269614,-0.187434124
PRT,porto,01:30.0,94.6,28,17.3,38,18,46:30.0,15.029206543524223,14.830266906786523,0.1989396367376983
PRT,porto,01:30.0,495.9,61,93.1,143,11,46:30.0,18.527749740821267,16.03574217425994,2.492007566561327
PRT,porto,46:30.0,556.7,63,97.9,154,7,46:30.0,18.72055535,16.19238053,2.528174822945598
PRT,porto,46:30.0,232.4,33,64.7,61,2,46:30.0,14.283909088204071,12.80449774429962,1.4794113439044525
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,10.356232340913166,10.224395651880274,0.1318366890328928
PRT,porto,01:30.0,6.3,0,0.4,1,0,01:30.0,10.349132162606368,10.080314715645336,0.2688174469610302
PRT,porto,01:30.0,3,0,3,2,0,01:30.0,11.70458928,11.554384788244343,0.1502044880423572
PRT,porto,01:30.0,1.2,0,3.5,1,0,01:30.0,13.059718928506804,12.823667225495049,0.236051703
PRT,porto,01:30.0,0.7,0,2.3,1,0,01:30.0,12.32214041864146,12.24868197779754,0.073458441
PRT,porto,01:30.0,11.4,0,0.5,3,0,01:30.0,11.714929962026584,11.610423473542902,0.1045064884836826
PRT,porto,01:30.0,7.8,0,0.5,2,0,01:30.0,11.754840011753627,11.815849290805255,-0.061009279
PRT,porto,01:30.0,1.3,1,0.1,1,0,01:30.0,12.700238078375287,12.65789975287699,0.042338325
PRT,porto,16:30.0,0,2,0,0,0,01:30.0,12.77181066774991,12.92147961372943,-0.149668946
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.53060779618917,12.968354330567765,-0.437746534
PRT,porto,01:30.0,13,2,0.5,3,4,01:30.0,12.658351774811289,13.135176791146808,-0.476825016
PRT,porto,01:30.0,65.3,10,4.9,13,19,01:30.0,13.269542344848473,13.457847791008044,-0.188305446
PRT,porto,01:30.0,82.9,14,9.9,18,31,01:30.0,13.318872209548502,13.535597143098787,-0.216724934
PRT,porto,31:30.0,71,16,9.4,17,42,01:30.0,13.355839688966212,13.57165612525442,-0.215816436
PRT,porto,46:30.0,32.1,12,6.6,9,43,46:30.0,12.92358596075274,13.719113057081842,-0.795527096
PRT,porto,01:30.0,27.9,12,5.5,12,36,46:30.0,12.98562563218217,13.644574094202106,-0.658948462
PRT,porto,16:30.0,22,12,3.6,11,27,46:30.0,13.016133584598936,13.00986760522686,0.006265979
PRT,porto,46:30.0,29.8,8,4.5,7,11,46:30.0,12.804552278955066,12.917234490608484,-0.112682212
PRT,porto,01:30.0,22.7,9,2.1,6,16,16:30.0,12.582872750518227,12.96499889291858,-0.382126142
PRT,porto,01:30.0,6.7,13,1.4,3,14,31:30.0,13.277727866490029,13.26439964275022,0.013328224
PRT,porto,46:30.0,10.5,12,1,4,11,46:30.0,13.15806689202898,13.16504327105245,-0.006976379
PRT,porto,16:30.0,9.5,7,0.9,3,11,46:30.0,12.422696525963756,12.771516179251734,-0.348819653
PRT,porto,46:30.0,13.3,4,0.6,2,8,46:30.0,11.96764166571896,12.331138283355909,-0.363496618
PRT,porto,01:30.0,6.8,0,0.5,3,0,01:30.0,11.26128271381546,11.167536926239352,0.093745788
PRT,porto,01:30.0,6.2,0,0.3,1,0,01:30.0,11.53691476723109,10.865140738948751,0.6717740282823392
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,11.387304973382191,10.875926221247967,0.5113787521342257
PRT,porto,01:30.0,5.9,0,0.5,2,0,01:30.0,12.063907184281437,11.596053570888737,0.467853613
PRT,porto,01:30.0,5.6,0,0.3,1,0,01:30.0,12.020827602505758,11.713044473896838,0.3077831286089196
PRT,porto,01:30.0,3.3,0,3.4,3,0,01:30.0,12.796309365775564,12.335201635892126,0.4611077298834374
